---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnARMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnARMS
data,C,BC,-7.31414131551943,-9.17623398576435
data,CD,DE,-5.18760257925105,-6.79096422445161
data,BC,BC,-6.00515661285091,-7.94067045467388
data,C,BC,-7.54211820889651,-9.51750212668947
data,CD,DE,-7.57698014754585,-9.11639824568962
data,C,BC,-6.32715379670589,-8.45694936387887
data,CD,DE,-6.77210200777174,-8.81064230533754
data,C,BC,-5.44165583569733,-7.2828724370034
data,C,BC,-4.66396282278459,-6.60995499406592
data,C,BC,-8.60950695112949,-10.621313584118
data,CD,DE,-6.93612917265396,-9.02474618662147
data,C,BC,-8.03301331940846,-9.94389526557492
data,CD,DE,-8.01609898347237,-10.1212076791538
data,D,DE,-6.0220298931949,-7.85998985545651
data,C,BC,-8.46034447520741,-10.3780398313879
data,C,BC,-5.81317923600654,-7.6925240754267
data,CD,DE,-5.5087507912451,-7.25380583941516
data,CD,DE,-5.78262795723358,-7.69479730157516
data,C,BC,-4.42213486935604,-6.63661410896717
data,C,BC,-6.64774945284267,-8.88488458129667
data,C,BC,-8.39715451277926,-9.81068817978227
data,BC,BC,-5.91243720666414,-7.75836332217229
data,CD,DE,-5.06398088590917,-7.00527883576669
data,CD,DE,-4.82749128853543,-6.39357383111756
data,C,BC,-8.23026164086006,-10.0983715960788
data,C,BC,-5.41898826665526,-7.26376748951737
data,C,BC,-8.70441221376038,-10.18533812432
data,CD,DE,-6.51593030373757,-8.48740498409392
data,CD,DE,-8.24330311088079,-9.96627029634627
data,CD,DE,-5.83626875476949,-7.15020581197989
data,C,BC,-7.56195836769136,-9.35050502176322
data,C,BC,-7.87954314435055,-9.63356769686593
data,CD,DE,-7.05230946036076,-8.71481336254595
data,CD,DE,-4.19171313226658,-6.67173445492827
data,D,DE,-8.27815708317495,-10.0892423977523
data,CD,DE,-4.75328633854731,-6.64089125507594
data,CD,DE,-9.12089955929564,-10.6167644078669
data,D,DE,-7.38952677460237,-9.13413013885289
data,CD,DE,-8.4425022003694,-10.2866790537958
data,CD,DE,-3.69147533044798,-5.94474042373591
data,C,BC,-8.77598596714743,-10.4475637597306
data,C,BC,-8.15270619745196,-9.95406238342515
data,C,BC,-5.80506356259657,-7.64737832098091
data,CD,DE,-6.57391554819377,-8.66311466721838
data,C,BC,-6.9665696051675,-8.71741709217674
data,CD,DE,-7.34366143206483,-8.97010451169615
data,CD,DE,-5.05821087109137,-7.41854867608401
data,BC,BC,-6.20750432166054,-8.07679700752436
data,CD,DE,-6.06676376803694,-8.24619913497152
data,CD,DE,-7.64006299460008,-9.10326521568698
data,CD,DE,-7.32452227066935,-9.66468179300571
data,CD,DE,-8.08007115850659,-9.51538203856495
data,CD,DE,-5.05523284667139,-7.33616823886126
data,CD,DE,-5.33242911157277,-7.47428119358211
data,C,BC,-7.73519064279835,-9.31197768657653
data,CD,DE,-4.96789951971532,-7.07507017769616
data,CD,DE,-7.33074071974915,-9.20850218440415
data,C,BC,-7.80376792397107,-10.6365437772287
data,C,BC,-7.00353661291496,-9.07459797670513
data,CD,DE,-7.32890207875309,-8.65964189270922
data,C,BC,-7.8814035805638,-9.82220070016128
data,CD,DE,-8.77156402158317,-10.4283098059678
data,CD,DE,-5.83569159576792,-7.55779888846175
data,D,DE,-6.49282575681542,-8.12674534093664
data,C,BC,-7.66662649331763,-9.69176199509709
data,CD,DE,-4.83783353680776,-6.83176665149351
data,C,BC,-8.05772874892261,-9.39737224850924
data,C,BC,-5.81729685284944,-7.66397615825283
data,C,BC,-6.49781597948379,-8.27361251404595
data,CD,DE,-4.9693343089909,-6.90899557541342
data,CD,DE,-8.51893218248347,-10.4317548840503
data,C,BC,-7.46116064298551,-9.17725317520452
data,D,DE,-6.17143626799225,-7.9910569355294
data,CD,DE,-9.03356484278424,-10.2795427040451
data,C,BC,-4.30825216308423,-6.35400906228164
data,C,BC,-7.85970951979797,-9.48115355449537
data,CD,DE,-4.4150094393268,-6.35022822840045
data,C,BC,-5.38369251161913,-7.37216262692803
data,C,BC,-7.8909822150491,-10.0655911290884
data,BC,BC,-8.27625915005333,-9.74684145817365
data,CD,DE,-7.51115339260178,-9.60756712791682
data,CD,DE,-4.83549100272632,-6.75521091146488
data,C,BC,-7.90202432903201,-9.46281775669181
data,C,BC,-6.41911035846947,-8.11595882395562
data,C,BC,-6.47730735592105,-8.04533300222305
data,CD,DE,-7.48349146618926,-9.56237450816974
