---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: LnA
    type: numeric
  - name: A
    type: numeric
  - name: LnC
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,LnA,A,LnC
data,CD,-2.66717894052966,14.3992905863221,-3.56153250425245
data,C,-3.55590300676432,35.0194284749933,-5.79169396716922
data,CD,-4.86149693206976,129.217487204525,-8.65052587162641
data,CD,-5.25960380775632,192.405246728092,-11.1593639594824
data,CD,-3.69147533044798,40.1039699415331,-6.25692330853481
data,C,-4.45691208508265,86.2208549413812,-6.87963296618922
data,CD,-5.24262994849619,189.166948110696,-10.5277851402134
data,CD,-4.98193669822742,145.756394629561,-9.47814653955917
data,C,-4.92391444900569,137.539953939787,-6.97684598134357
data,C,-4.47338141284118,87.6526121381132,-6.11927818182722
data,BC,-4.69042628230194,108.899591883099,-6.62834523898497
data,CD,-4.83783353680776,126.195657116349,-7.26699053645099
data,CD,-2.94425196444795,18.9964470525859,-3.19197889040642
data,D,-4.90976714277026,135.607833467251,-7.99891008372044
data,D,-5.18056272505182,177.78282570014,-9.36742077718386
data,C,-5.28737088933147,197.822643490234,-12.2543226121053
data,CD,-4.8221995064263,124.238052874527,-8.15800487358814
data,CD,-4.53290239351453,93.0281740003408,-6.66009764795766
data,C,-5.00473625404939,149.117748769071,-9.23370216389723
data,CD,-5.12234613261055,167.728421484277,-9.97181942250583
data,CD,-3.84648903205101,46.8283613933744,-3.95823920736992
data,C,-4.01481968334796,55.4133025603867,-6.16537735288954
data,CD,-5.27020557490528,194.455933596849,-11.3331036517316
data,C,-4.80135437639314,121.675099855504,-8.74016505606911
data,D,-3.33615094426422,28.1107184823917,-3.03122038887141
data,D,-1.78897888380749,5.98333966095886,-1.68932075703675
data,C,-2.44285849052898,11.5058832387155,-3.65271484591732
data,C,-1.94348406337929,6.98303798423928,-2.22415401301118
data,D,-4.13725661538836,62.6307652713156,-4.29207791585801
data,C,-3.48973542979599,32.777274668723,-4.8154031005256
data,C,-2.3986584284769,11.0083979165151,-3.19015516443993
data,E,-2.5321424046789,12.5804296571922,-2.45995263766925
data,C,-3.18684303547388,24.2118706463902,-3.49978090324782
data,C,-3.57597465920223,35.7294278660545,-5.0097071394314
data,C,-2.54122606164662,12.695226563212,-3.45837134398829
data,D,-4.1148488264174,61.2429552459565,-4.54254186793907
data,D,-2.09365190099142,8.11449445144977,-3.25168851499488
data,C,-3.68569364019321,39.8727702159882,-5.28415320977455
data,C,-1.546374482035,4.69441959009351,-2.63099889460676
data,C,-4.09392342042502,59.9747368122407,-7.14797050135113
data,C,0.499868090254112,0.606610672294933,-0.336479429770726
data,D,-5.06010323717927,157.606786363574,-7.88044550586706
data,D,-3.89029056307753,48.9251002863421,-5.05592620716734
data,C,-1.90991608025375,6.75252210481164,-1.98598697409016
data,C,-0.3722809698306,1.45104062266096,-1.46809726703337
data,D,-1.60336680937573,4.96973644424629,-2.84711961407955
data,D,-2.507793325927,12.277807027229,-4.30405744556151
data,C,-2.80102273812152,16.4614739416725,-3.42864331632188
data,D,-2.6178015658551,13.7055596701826,-4.0123012946048
data,C,-2.42774671814847,11.3333161316178,-2.99114919176108
data,D,-3.6530744016508,38.5931346425539,-4.98618759300389
data,D,-1.44619473670824,4.24692306789337,-1.57932873421752
data,C,-2.63350052599151,13.9224204959275,-2.24964955383218
data,D,-3.64561159113287,38.3061934171507,-3.79467070821071
data,D,-3.16719274247312,23.7407443388113,-4.05536080277795
data,D,-1.82998636646604,6.23380166919861,-1.61254379596937
data,C,-4.15952854737462,64.0413230317867,-5.90477806692206
data,C,0.240799179492506,0.785999455349683,-0.206224042863009
data,D,-3.06219864958366,21.3745005738476,-3.25224594159707
data,D,-3.10580991328278,22.3272948270004,-2.64374858566138
data,D,-5.27060625323165,194.533863486242,-11.0063833270193
data,C,-3.33227056003587,28.0018494571762,-4.47515838505917
data,C,-3.48349282134529,32.5732963177955,-5.02468154139936
data,C,-3.38881909057899,29.6309401449926,-5.98181586694846
data,C,-2.64096607568063,14.0267479643301,-3.2279228200823
data,C,-3.80695826250884,45.0133117417613,-6.57468495383349
data,D,-3.00686199181797,20.2238376798651,-4.4427849256289
data,D,-3.0095802739879,20.2788865625392,-3.50928691122977
