---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: A
    type: numeric
  - name: LnA
    type: numeric
  - name: LnIA
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,A,LnA,LnIA
data,C,0.00124468369207559,-6.68887384393472,-9.58394041104878
data,CD,0.0051423379714822,-5.27024744466671,-7.98836763440022
data,CD,0.00386634850566053,-5.55544475594219,-8.26620859833695
data,C,0.0093190582507761,-4.6756937014442,-6.94126297398642
data,C,0.00228160407141382,-6.08287654329032,-10.0049080417222
data,C,0.000775955476640611,-7.16141541489022,-11.1797203270308
data,C,0.000167857680507229,-8.69239407742467,-14.298870598705
data,C,0.000109545534942731,-9.11917025092111,-14.7714651356776
data,C,0.000375494723253242,-7.88726613944673,-13.0396445523309
data,CD,0.00269765457831501,-5.91537255818651,-8.22001360428454
data,C,0.000737940709439836,-7.21164707610361,-12.0908135189054
data,C,0.00021174263853694,-8.4601389899151,-13.8755157313387
data,CD,0.000133465919925213,-8.92166439417291,-15.22146987912
data,C,0.000906307208639103,-7.00613222701362,-11.9808084950398
data,C,0.000335247840421196,-8.00064047751989,-12.0899612501751
data,CD,0.00059499909535198,-7.42695067283664,-12.108087628265
data,CD,0.00104451066238316,-6.86420676889802,-11.5627288633045
data,CD,0.00767351815315015,-4.86998007865828,-6.70711204013339
data,C,0.0137709231445295,-4.28519592821783,-7.10567145534784
data,C,0.000169729434064016,-8.68130495312729,-14.5571536853554
data,C,0.000445257736404787,-7.71685726052763,-12.29602070523
data,C,0.000120460801806293,-9.02418615416719,-15.5420496580131
data,CD,0.000168252207531937,-8.69004646897908,-14.1026782761069
data,C,0.000192995505210514,-8.55284365839528,-13.3695002393084
data,CD,0.00111607744262525,-6.79793502439722,-10.4536686025685
data,D,0.00594470261590931,-5.12525477264577,-6.16625924216162
data,CD,0.000110172609961396,-9.11346224058342,-14.4043386359797
data,C,0.00462963091885669,-5.37527812921116,-8.5434437887397
data,C,0.000155927156238537,-8.76612160695739,-14.7268873343639
data,CD,0.000188680165076258,-8.57545722464793,-12.9959588285605
data,C,0.000645531695237822,-7.34543624704288,-11.2192909434838
data,CD,0.00103818730300256,-6.8702790644643,-10.6511681749298
data,CD,0.0015285605737147,-6.48342878790295,-10.4695048515413
data,CD,0.00061303615072236,-7.39708665032099,-11.5626866357324
data,C,0.00140527180358421,-6.56752454039801,-10.021100033733
data,CD,0.000377804849759624,-7.88113276613536,-12.1796654135393
data,CD,0.00176861059967231,-6.33756101258474,-9.7129364023306
data,C,0.000113134647011284,-9.08693188213228,-14.3679373585147
data,C,0.000130508424548576,-8.94407277735739,-14.7945227902483
data,C,0.000202994151660747,-8.50233338889046,-13.5179766365246
data,CD,0.00734237979046827,-4.91409226676971,-7.74914504840766
data,C,0.000122121495143375,-9.0104941469415,-14.4167586432706
data,C,0.000370710608427131,-7.90008883093318,-12.9025133919094
data,C,0.000238021449260193,-8.34314976541164,-13.3836871349138
data,C,0.000209266131906472,-8.47190375762853,-13.5824232172702
data,CD,0.000379420397451404,-7.87686573951683,-13.6383087045199
data,C,0.00226726720652928,-6.08918004650263,-9.55075347539724
data,C,0.00821634119557373,-4.80163027903245,-7.86074153213872
data,CD,0.00211407024234808,-6.15914016486374,-9.12624613641901
data,C,0.00246544817534161,-6.00538167245952,-10.9720048816485
data,CD,0.00249793166031792,-5.99229222541202,-9.04783431776981
data,C,0.00460030947603233,-5.38163170035178,-5.95097321585769
data,C,0.000485572461257379,-7.63018203058209,-12.4075138210817
data,CD,0.00319008617690244,-5.74770734784732,-8.93401533113104
data,C,0.000455944093633704,-7.69314035764656,-11.7040849977074
data,C,0.000639096978694366,-7.35545434875723,-11.4567808831532
data,D,0.00150280126477952,-6.50042440264948,-9.78050559415882
data,C,0.000400880007010995,-7.82184840982379,-12.118180640211
data,C,0.000566455853773461,-7.47611140855843,-12.1144223614466
data,CD,0.000297426401953019,-8.12034375197736,-13.3680186816902
data,C,0.0127586138003386,-4.36154864330395,-4.39595977286752
data,C,0.000155825871029008,-8.7667713854951,-13.1341049367882
data,BC,0.00178779015562433,-6.32677497174456,-10.3032266443293
data,C,0.000261987493154485,-8.24721379139417,-12.6988046782247
data,C,0.00613271549016704,-5.0941176434083,-6.45872215154048
data,D,0.00323340930211457,-5.73421818691757,-8.55241976609931
data,CD,0.00375028939457726,-5.58592227009015,-9.73284758596589
data,CD,0.00103164191939572,-6.87660364946305,-11.8468874500972
data,C,0.000195148780270862,-8.54174831457055,-14.4443115374764
data,CD,0.00212657989843775,-6.15324027123354,-9.16358066801193
data,C,0.000834413659324814,-7.08878128417583,-9.86312070877444
data,C,0.00110966361210423,-6.80369836174583,-9.44796442909199
data,CD,0.00705955893438877,-4.95337270331117,-6.64070210491085
data,C,0.00105150106497104,-6.85753655001077,-10.6314710953487
data,CD,0.00268752376206327,-5.91913504386948,-8.63571462084935
data,CD,0.00142315707781884,-6.55487758099181,-9.51398099332142
data,C,0.000534370717946875,-7.53442073150419,-11.3413692728346
data,CD,0.0062493214432472,-5.07528239020832,-7.183363213636
data,C,0.000318982716485244,-8.05037363694428,-12.8693891309143
data,D,0.00955921148414586,-4.65025003605843,-7.29505071107272
data,CD,0.00101480097840152,-6.89306276610725,-10.7100198840688
data,C,0.0117867836689248,-4.4407764032679,-7.50498324481823
data,CD,0.000641366555983341,-7.35190941427961,-11.6551277387244
data,CD,0.00181487168164742,-6.31174051258145,-10.1054726404344
data,C,0.000938714209975273,-6.9709994808055,-10.972787632512
data,D,0.000196528926899339,-8.53470092680573,-13.3334400281047
data,C,0.000116772757626315,-9.05528075427544,-14.7726331051057
data,C,0.00044923951721061,-7.70795436655034,-12.7073381405829
data,CD,0.000546949876825067,-7.51115339260178,-11.8597564608675
data,CD,0.00161866680714317,-6.42615242710774,-9.72935630117867
data,CD,0.000327861721241085,-8.02291862005269,-12.3263870862417
data,CD,0.000380320635366224,-7.87449588374424,-12.4354795570928
data,CD,0.00763728255069607,-4.87471342615703,-7.2711586471357
data,CD,0.00023770536270068,-8.34447862305884,-13.2340544313929
data,CD,0.00272718110144953,-5.90448676681789,-8.8812978773706
data,C,0.00203466061607314,-6.19742624742425,-9.39191124152766
data,CD,0.00790693255178443,-4.84001536612014,-5.4636788235166
data,BC,0.000389220492005034,-7.85136455743253,-12.6580237066304
data,C,0.00898659568098023,-4.71202118063806,-6.94737787657623
data,C,0.000667542144686389,-7.31190803157605,-11.2910857872103
data,C,0.000873953128441183,-7.04248381253265,-11.043306642789
data,CD,0.000642518433585972,-7.35011505120028,-12.2953309698032
data,CD,0.00138018042142412,-6.58554104819637,-9.48693231457803
data,D,0.0085265449160222,-4.76457105041046,-7.14095690389267
data,CD,0.0180075398952622,-4.01696472572287,-5.62216224047127
data,CD,0.00457716086213484,-5.38667637217013,-8.06679543135382
data,CD,0.00207058361819483,-6.17992477028588,-8.63113155519155
data,C,0.00596808314100137,-5.12132948504478,-8.12325482976108
data,C,0.000260837956071483,-8.25161120141736,-14.4747420093802
data,D,0.00200668475737906,-6.21127129306498,-9.09348624328029
data,CD,0.00128754529169266,-6.6550177480314,-9.88492303865479
data,D,0.000422939978608118,-7.76828028352944,-12.9944277467712
data,C,0.00226970589478386,-6.0881050176519,-8.91655743446194
data,CD,0.00010957444138531,-9.11890640968463,-15.9168944371877
data,CD,0.000823426280344357,-7.10203653227558,-10.6976809454496
data,CD,0.000246258423647295,-8.3091290707924,-12.174071614518
data,D,0.0220529373298962,-3.81430947372105,-5.78411409970671
data,D,0.000643873124501419,-7.34800886291302,-11.6498240664161
data,D,0.00104154116177019,-6.86705377642137,-10.6277935695101
data,C,0.00028456057214527,-8.1645644196947,-13.468277551737
data,D,0.00042246974522787,-7.7693927226592,-12.1021612712754
data,D,0.00755091623714653,-4.88608636717079,-6.60365998630512
data,D,0.00359697893331003,-5.62766097102474,-8.92351715443729
data,D,0.0122347139128268,-4.4034779650477,-6.52332573324184
data,D,0.0971260595799058,-2.33174556090821,-2.53808807357287
data,D,0.52392502658423,-0.646406683935606,-0.19956973082517
data,E,0.0200812990908843,-3.90796629049012,-4.49690140048082
data,D,0.0487598347180062,-3.02084836407936,-3.44258803610367
data,C,0.051001405855675,-2.97590208084019,-2.74642204565575
data,D,0.0138837030035002,-4.27703957248911,-4.40063994217466
data,C,0.0064799070129936,-5.03904911856758,-7.0125248525065
data,D,0.0533113324026664,-2.93160635497515,-3.33743335235945
data,D,0.21658551571817,-1.52976981775847,-0.069214261336388
data,D,0.0270696378261574,-3.60934255460474,-4.13027451545532
data,C,0.0147951452847104,-4.21345617332617,-6.24391810613581
data,C,1.37177454732711,0.316105191695402,2.60681852389652
data,C,1.64850380263966,0.499868090254112,3.52511112640826
data,C,0.0227770235696205,-3.78200298930579,-6.3673916229432
data,C,0.00668981910526121,-5.00716844477989,-6.79308755614547
data,C,0.12800596331905,-2.05567842771765,-2.31515626855112
data,C,0.0196692498063588,-3.92869878628363,-4.78757312708494
data,E,0.3192148620053,-1.1418908543234,0.244147034817059
data,C,0.00977229778320008,-4.6282036529441,-5.62938878619387
data,C,0.0186759556861009,-3.98051837464876,-4.46129360775692
data,C,0.0162973660321114,-4.116751777349,-4.95658328813202
data,B,0.0219022549409613,-3.82116568211955,-4.86381150554543
