---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: PGAs
    type: numeric
  - name: Da
    type: numeric
  - name: kmax
    type: numeric
  - name: kh
    type: numeric
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
  - name: LnK
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,PGAs,Da,kmax,kh,LnA,LnV,LnK,LnD
data,D,0.0336498021537835,20,146.962,0.442,-3.39174810243964,4.05453794129637,-4.2080937407823,2.99573227355399
data,C,0.0182140092331713,60,52.977,0.294,-4.00556424290948,3.79956802269872,-5.22840993364282,4.0943445622221
data,D,0.0305344449923968,400,31.24,0.104,-3.48889988858499,4.17232497829679,-5.75656846577043,5.99146454710798
data,D,0.153498424842916,30,826.8803,0.545,-1.8740649736172,5.62228628234482,-2.48060784621825,3.40119738166216
data,C,0.171541155324141,250,207.3485,0.122,-1.76293206842948,5.36532361653679,-3.86386683822086,5.52146091786225
data,C,0.121009484465924,10,550.7526,0.461,-2.11188635244136,5.01469852931882,-2.88698208423538,2.30258509299405
data,C,0.174989407317728,250,655.6634,0.379,-1.7430298365036,6.02379668383047,-2.71262024323978,5.52146091786225
data,C,0.182683185634886,20,1286.1524,0.713,-1.70000185248321,6.31253451043846,-2.0388573859673,2.99573227355399
data,C,0.182683185634886,60,1037.8809,0.575,-1.70000185248321,6.31253451043846,-2.2533314734836,4.0943445622221
data,C,0.182683185634886,150,852.0135,0.472,-1.70000185248321,6.31253451043846,-2.45066541896771,5.01063529409626
data,C,0.143204147286181,125,373.9074,0.264,-1.94348406337929,5.09975852897269,-3.27425961756662,4.8283137373023
data,D,0.667245887531571,30,3536.7443,0.536,-0.404596654026244,6.67157071233027,-1.02730589705328,3.40119738166216
data,D,0.46589239029957,5,3152.0387,0.685,-0.763800593627033,5.68695463564221,-1.14246306192074,1.6094379124341
data,D,0.612186767952977,20,5769.4988,0.954,-0.490717866632902,6.84279516721551,-0.537927298097507,2.99573227355399
data,E,0.0708511495559656,300,196.0699,0.28,-2.64717408776937,5.4372091729176,-3.91979656243664,5.7037824746562
data,C,0.0908397395864276,20,333.0581,0.371,-2.3986584284769,4.69075654907968,-3.3899508415059,2.99573227355399
data,C,0.0908397395864276,75,179.1529,0.2,-2.3986584284769,4.69075654907968,-4.01002815956964,4.31748811353631
data,C,0.0908397395864276,350,35.7521,0.04,-2.3986584284769,4.69075654907968,-5.62165878206836,5.85793315448346
data,C,0.119055551014921,45,312.124,0.265,-2.12816507954352,4.48763380687411,-3.45486724599172,3.80666248977032
data,C,0.446860476144726,60,1756.1389,0.398,-0.805508866996911,6.25068564022486,-1.72739491944732,4.0943445622221
data,D,0.0469644312327873,10,211.8281,0.457,-3.05836474605747,4.23990849457701,-3.84249269404241,2.30258509299405
data,D,0.0301984870898519,30,129.9102,0.435,-3.4999634522187,4.39323752670446,-4.33142434820809,3.40119738166216
data,D,0.0301984870898519,100,85.0764,0.285,-3.4999634522187,4.39323752670446,-4.75471811442217,4.60517018598809
data,D,0.0542445961129145,400,34.2776,0.064,-2.91425190234491,4.10794032088228,-5.66377571113188,5.99146454710798
data,D,0.24154876334586,10,1099.3263,0.461,-1.42068390765593,5.09116865939274,-2.1958149741278,2.30258509299405
data,D,0.0184780260856056,175,36.2805,0.199,-3.99117303202305,3.78747314958523,-5.60698738389204,5.16478597392351
data,D,0.0184780260856056,250,27.425,0.15,-3.99117303202305,3.78747314958523,-5.88681278458062,5.52146091786225
data,C,0.0754025518005153,125,85.3619,0.115,-2.58491416103275,4.56415975638851,-4.75136792532697,4.8283137373023
data,C,0.105249562434008,10,455.7877,0.438,-2.25142096382489,4.57884257987632,-3.07624065981441,2.30258509299405
data,C,0.239221545137075,10,1242.4164,0.526,-1.43036518931858,5.39574531762174,-2.07345431873699,2.30258509299405
data,C,0.239221545137075,20,1012.1834,0.428,-1.43036518931858,5.39574531762174,-2.27840273201738,2.99573227355399
data,C,0.239221545137075,75,640.2479,0.271,-1.43036518931858,5.39574531762174,-2.73641234563642,4.31748811353631
data,C,0.239221545137075,200,389.3754,0.165,-1.43036518931858,5.39574531762174,-3.2337238739134,5.29831736654804
data,D,0.169015171152241,45,765.6811,0.459,-1.77776679795656,6.22417199343193,-2.5575020262238,3.80666248977032
data,C,0.0586576572171003,20,350.7327,0.605,-2.83603715456826,5.31246937950917,-3.3382433958553,2.99573227355399
data,C,0.0586576572171003,45,303.475,0.524,-2.83603715456826,5.31246937950917,-3.48296855595805,3.80666248977032
data,C,0.0899335606393213,30,342.3732,0.385,-2.40868409638548,5.19132038536393,-3.3623664205657,3.40119738166216
