---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnD
data,CD,DE,-9.13569207245975,-11.8051409324984
data,C,BC,-7.31872796799407,-11.3802890165894
data,C,BC,-7.36814527173856,-11.5540731557232
data,D,DE,-5.31099897296417,-8.97786850331479
data,D,DE,-7.48077157434698,-10.745951351774
data,C,BC,-9.11917025092111,-13.1540789427867
data,C,BC,-4.85487841829643,-8.98211225176515
data,C,BC,-3.79790109675834,-7.41597840413091
data,D,DE,-7.10178970487468,-10.8396689449987
data,D,DE,-3.93900467972277,-6.77839939652855
data,C,BC,-6.25854698110525,-10.1764282518792
data,C,BC,-8.42877625888754,-11.8583280991659
data,C,BC,-7.73332959746586,-11.5451584216651
data,C,BC,-6.2600206910614,-9.34972178378255
data,C,BC,-4.77719507239482,-7.302030686503
data,CD,DE,-7.42695067283664,-10.9706841259234
data,CD,DE,-8.01609898347237,-12.0422216727072
data,D,DE,-6.58569359578036,-10.6609933002639
data,C,BC,-4.6406479108849,-8.95389765106101
data,C,BC,-6.21546558247607,-9.31433546313601
data,C,BC,-5.81317923600654,-9.09974459496316
data,C,BC,-8.19577338458452,-11.1949337184895
data,CD,DE,-6.76550766091747,-11.1685769290132
data,C,BC,-7.48252774653533,-10.9975520202597
data,C,BC,-7.05013804647383,-10.9159634479684
data,D,DE,-3.22208702200659,-5.27527400527795
data,CD,DE,-5.69285616655823,-9.78648448975635
data,C,BC,-8.3552722225571,-12.0387641058042
data,CD,DE,-6.74178348872497,-10.2974116930269
data,CD,DE,-3.48301403177197,-6.07708128808122
data,D,DE,-6.87264352514739,-10.2096131153924
data,C,BC,-7.19369665426251,-8.95637408686573
data,C,BC,-7.20820734516439,-8.72534168398055
data,C,BC,-6.59477964998547,-11.0906944561169
data,CD,DE,-5.50562487170337,-9.29801368066402
data,CD,DE,-7.47583141893134,-11.5370967570511
data,D,DE,-8.24800591135916,-12.3071696529951
data,CD,DE,-6.15658753496445,-10.2226157146178
data,C,BC,-5.95836117345407,-9.33803387643294
data,CD,DE,-5.68327762129248,-10.1048776405002
data,C,BC,-5.79912062016541,-8.94012143444305
data,CD,DE,-5.44556770986254,-10.0659223551539
data,CD,DE,-5.07890796926918,-7.23797589211227
data,CD,DE,-4.55861198549422,-6.81716493303453
data,CD,DE,-5.15742230719076,-9.81375187867246
data,CD,DE,-9.12089955929564,-11.9965854364949
data,D,DE,-6.86583688694533,-6.57060832953998
data,D,DE,-7.33001725298838,-9.60763688357368
data,C,BC,-8.74386370448202,-12.4400897235581
data,D,DE,-7.3753504045139,-10.7211760332672
data,CD,DE,-5.63424942056605,-9.75142610102142
data,C,BC,-4.76837922409782,-8.90884589410466
data,C,BC,-6.42685564743447,-9.652556727594
data,C,BC,-6.33002522766497,-9.62475685844516
data,CD,DE,-6.12886764931128,-10.9168204005415
data,C,BC,-5.38163170035178,-5.43298144675523
data,CD,DE,-6.19214491196992,-10.6129663001954
data,CD,DE,-7.85701735684047,-10.8943148858734
data,C,BC,-5.21152969378595,-9.11130872151144
data,C,BC,-6.04798601636238,-9.93589620947952
data,CD,DE,-4.76973403909186,-6.32078885502644
data,C,BC,-7.1608422762132,-11.1931323290193
data,C,BC,-7.62361182367441,-8.74046486545212
data,CD,DE,-5.25634249121879,-9.57326474411055
data,D,DE,-7.08907490380529,-11.4439885525507
data,CD,DE,-4.66424733150013,-9.030120413658
data,C,BC,-8.53331267276088,-11.9561777696639
data,CD,DE,-8.50177224161708,-11.5805409845683
data,D,DE,-6.28357528189983,-9.75544853775369
data,C,BC,-8.14707522697055,-12.0018646568234
data,CD,DE,-5.13728118278375,-5.53995878872036
data,CD,DE,-7.13242735564681,-11.268585200012
data,C,BC,-6.78414096990814,-8.59443549337637
data,CD,DE,-5.43934231853526,-6.69852692988301
data,CD,DE,-4.95337270331117,-6.95791137919145
data,C,BC,-5.90110343680547,-10.238550263056
data,CD,DE,-6.82437222958651,-9.25965393822627
data,C,BC,-7.36780391695283,-11.9382559987841
data,CD,DE,-8.14268235098841,-10.5641418571031
data,CD,DE,-6.23568973222085,-10.4544548815764
data,CD,DE,-6.45032202055172,-10.6815264912518
data,CD,DE,-7.33130114145865,-11.5044803233044
data,CD,DE,-8.33782846098763,-11.8762297385739
data,CD,DE,-8.86315772114366,-12.0968100812966
data,C,BC,-3.74905450718792,-7.77135107074535
data,C,BC,-6.17627952145396,-7.72353888600976
data,C,BC,-5.30242286874001,-7.58046963231565
data,D,DE,-4.29419675835664,-6.90717013664258
data,C,BC,-7.14296968884846,-10.5104935266715
data,C,BC,-9.0605806928192,-11.7869441035962
data,C,BC,-8.95841437091627,-11.7164902672064
data,CD,DE,-6.42653244885424,-9.52176120770338
data,CD,DE,-8.29746078220245,-12.1226525642147
data,C,BC,-6.5370430377897,-10.0561974030116
data,C,BC,-6.14386143407966,-9.99242628719424
data,CD,DE,-7.53761719586117,-12.2645131002527
data,C,BC,-6.81682045714607,-9.34216820628814
data,CD,DE,-7.29229376911684,-10.0508978966316
data,CD,DE,-7.02325208015742,-11.8041445681985
data,CD,DE,-7.05036770048922,-9.56200627047017
data,C,BC,-5.81185151672129,-10.0051439641814
data,C,BC,-6.62758339177757,-10.3174624979283
data,D,DE,-6.77056602101338,-8.89920669005804
data,CD,DE,-5.83558007797811,-9.97932472593619
data,CD,DE,-5.44795058517875,-9.50601591450061
data,C,BC,-5.89401941054748,-10.1795975111182
data,C,BC,-5.84116771408912,-7.05789591517808
data,CD,DE,-8.6234644805582,-11.8468769210402
data,C,BC,-8.39440347894183,-13.2513935495752
data,C,BC,-8.81630281421523,-12.5779713666472
data,C,BC,-8.4876183777524,-11.8638601033282
data,D,DE,-3.71234899094207,-5.87913898858025
data,C,BC,-8.25913208096215,-12.6160172357977
data,CD,DE,-4.09273885704731,-8.26865057052712
data,D,DE,-8.29442497327435,-11.0941917850875
data,CD,DE,-7.65201161647587,-12.1567415074383
data,CD,DE,-4.49351051925289,-8.21028261728919
data,C,BC,-8.84299966564537,-10.6868940557239
data,D,DE,-7.35334282527724,-10.616102288016
data,CD,DE,-7.31644542886707,-9.20600593901957
data,CD,DE,-6.69053290789769,-9.73872626484343
data,D,DE,-6.89138634600627,-10.177578841711
data,CD,DE,-4.83480112650537,-8.78001740517861
data,D,DE,-7.7693927226592,-10.824668976756
data,D,DE,-3.14742719003615,-5.63639788323086
data,D,DE,-5.40162993557916,-6.30408010971308
data,D,DE,-5.62766097102474,-9.43368846359482
data,D,DE,-4.4034779650477,-7.53057266283035
data,D,DE,-4.49911602521265,-5.59222963447349
data,D,DE,-4.13725661538836,-5.53040510080827
data,D,DE,-3.32912877627172,-4.28615257362083
data,C,DE,-3.80995042983299,-8.05823696333695
data,D,DE,-2.20039728663995,-2.51219966932862
data,C,DE,-4.15600803368952,-6.85441139515649
data,C,BC,-2.79874066717296,-4.58894849828677
data,C,BC,-3.80601853413027,-7.0011154502896
data,C,BC,-4.99886632381426,-5.94459388249345
data,C,BC,-0.992263032495228,-2.10843400039369
data,C,BC,-1.97445438772321,-2.45387295994766
data,D,DE,-2.97764422010213,-4.37491303220409
data,C,BC,-1.90991608025375,-1.46830244184549
data,D,DE,-2.47272939736566,-3.57315555965105
data,C,DE,-2.43291202312356,-4.16498077891054
data,D,DE,-4.10583778469895,-5.85348887933164
data,B,BC,-4.28455566884864,-6.16894584409759
data,E,DE,-4.00464336974987,-4.99712934854348
data,C,DE,-3.46280549199003,-4.98628322838173
data,C,DE,-3.81520088207306,-6.24294151921549
