---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,CD,DE,-5.65018829780341,-6.42540906257307
data,CD,DE,-6.53733816062235,-7.54147168203933
data,C,BC,-6.7253691332061,-7.87583424386804
data,C,BC,-7.28599410910241,-8.28026391961593
data,C,BC,-7.21164707610361,-8.40161696274119
data,D,DE,-5.88855753197761,-6.78759742494586
data,C,BC,-6.67489859367736,-7.97273002387915
data,C,BC,-6.4279335239838,-7.82559737369172
data,C,BC,-5.94554253002421,-7.37676240528602
data,C,BC,-7.84052008521397,-8.65002573481231
data,CD,DE,-5.47946909741931,-6.42103389285154
data,C,BC,-9.03039443267171,-10.2288091916993
data,C,BC,-6.0322777926022,-6.86359601499112
data,C,BC,-7.78207748532082,-7.82392471292294
data,C,BC,-7.78294282284444,-7.10210881847408
data,C,BC,-8.95004985781348,-9.91428063801819
data,CD,DE,-6.67558844396926,-7.2609972662348
data,C,BC,-8.53769961352268,-8.18127468041756
data,C,BC,-7.64803260665939,-8.53885460659845
data,CD,DE,-5.69285616655823,-6.67907396232054
data,CD,DE,-8.43399112138473,-9.22591597168899
data,CD,DE,-5.23430002029678,-5.51787189904672
data,C,BC,-6.98128947323711,-8.28087748791645
data,CD,DE,-6.74178348872497,-7.51131040008172
data,C,BC,-5.65720684165696,-5.54829046211881
data,CD,DE,-5.28976149073736,-6.38480161326896
data,C,BC,-7.56195836769136,-8.40837369058248
data,C,BC,-5.98455084266822,-7.14225539385474
data,C,BC,-8.22932484677574,-8.64505186375095
data,C,BC,-7.63918900262367,-8.88849822997715
data,CD,DE,-8.40509950386698,-9.47396659888021
data,C,BC,-5.54600541813515,-6.26594991805868
data,D,DE,-6.86583688694533,-5.572623287426
data,C,BC,-7.69264346262235,-8.9165600041365
data,CD,DE,-4.12025650268932,-5.3193992607548
data,CD,DE,-7.34824033264571,-8.58802838682801
data,CD,DE,-6.93021383989113,-7.75685795053699
data,C,BC,-7.64226143682455,-8.69341787119149
data,C,BC,-8.56836732880339,-8.4900175466668
data,CD,DE,-5.42946040971783,-6.58017243725788
data,C,BC,-6.65579349720494,-7.57969005547447
data,D,DE,-5.59507761235836,-5.59624718802471
data,CD,DE,-6.49651990821203,-7.30315239546165
data,CD,DE,-4.84761866398321,-5.84519097525061
data,C,BC,-7.63018203058209,-8.43645852957989
data,CD,DE,-5.65373564215235,-6.68727245186717
data,CD,DE,-8.44981416336235,-8.597718931397
data,CD,DE,-9.12704322823453,-9.41717136683451
data,C,BC,-7.47485336261634,-8.48575328197774
data,C,BC,-7.68482930895926,-8.54163833278998
data,CD,DE,-3.5318646648735,-4.57685921245685
data,CD,DE,-7.32452227066935,-8.34287886832582
data,C,BC,-8.91722643228751,-9.1389496701843
data,C,BC,-6.53303687338891,-7.41116206108212
data,CD,DE,-5.74998962819046,-6.86213034017139
data,C,BC,-8.45254839633189,-8.27878627305331
data,CD,DE,-6.6613306506902,-7.56225708747443
data,C,BC,-8.04766270109483,-8.8419448944072
data,C,BC,-3.76223193840901,-4.95492297561619
data,D,DE,-4.21237403108244,-4.52235678406025
data,CD,DE,-4.84043652775495,-5.92199700299061
data,D,DE,-7.08907490380529,-8.16977922085636
data,BC,BC,-4.07555691273912,-5.38618288592599
data,CD,DE,-4.75161712716979,-5.87866338570988
data,C,BC,-4.61193017425892,-5.33247489327064
data,C,BC,-7.06363826143402,-8.14357083929865
data,C,BC,-6.85753655001077,-7.79253556682168
data,CD,DE,-5.98371522362694,-6.77387104306105
data,CD,DE,-7.06863347569292,-7.59531501550736
data,CD,DE,-6.1741061632305,-7.56280128125957
data,CD,DE,-8.56915207531673,-9.6141812763887
data,CD,DE,-8.4121182156408,-9.87516305865972
data,CD,DE,-4.81615342428552,-5.80792545554041
data,CD,DE,-8.45603347916059,-9.64985484860348
data,D,DE,-4.90096693364637,-6.06497082872987
data,C,BC,-8.18469780101205,-9.39008375469764
data,C,BC,-8.2858996120921,-9.58817662815205
data,C,BC,-5.99769307831795,-7.24255282857493
data,C,BC,-6.3887455004349,-7.63154763914049
data,C,BC,-4.30825216308423,-5.48326271507277
data,C,BC,-6.97944566136585,-7.9182656644764
data,CD,DE,-4.8221995064263,-6.00095359961528
data,CD,DE,-4.18383971020762,-5.32558598697919
data,C,BC,-5.30242286874001,-6.13464857254167
data,CD,DE,-6.14788351006787,-7.19088850041212
data,CD,DE,-6.33413506711908,-7.44385332099532
data,D,DE,-5.81301685756255,-6.65201777810057
data,CD,DE,-8.90038157891259,-8.73875573995933
data,CD,DE,-7.08283607473455,-8.23749379542241
data,C,BC,-7.14296968884846,-7.90991242641633
data,CD,DE,-8.78798092771387,-9.40095146649354
data,CD,DE,-8.29746078220245,-9.2635265144461
data,CD,DE,-8.02291862005269,-9.01112868197238
data,CD,DE,-6.79852586116254,-7.89759711634028
data,CD,DE,-6.61563410396498,-7.38719645739076
data,C,BC,-6.5324248001465,-6.93361400243216
