---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,CD,DE,-4.80757893601448,-7.94887442119488
data,C,BC,-6.08180391350399,-8.81358594869762
data,C,BC,-7.11428162258774,-10.1337468203055
data,C,BC,-6.7253691332061,-9.79936677016352
data,D,DE,-7.77592674633698,-10.3787136588389
data,C,BC,-4.85487841829643,-8.00618447713682
data,C,BC,-8.26501046837519,-11.2439921978294
data,C,BC,-5.73035990669346,-8.83978015549392
data,C,BC,-5.56341237446856,-8.66090303607649
data,C,BC,-7.21164707610361,-9.91372207221217
data,C,BC,-7.96332679111486,-10.7165397224204
data,C,BC,-6.65342214239657,-9.82329301771917
data,C,BC,-8.35971145949453,-10.9035085153996
data,C,BC,-5.61937690869777,-8.16761513025829
data,C,BC,-4.6406479108849,-7.84817398118959
data,CD,DE,-7.29262110412831,-10.2943664499599
data,C,BC,-5.60194717752577,-8.28559323073382
data,CD,DE,-4.76508158119089,-8.17928339064732
data,CD,DE,-6.34875263751098,-9.29017210162614
data,CD,DE,-5.66490849726179,-8.3861357937987
data,CD,DE,-6.16822329768724,-8.05103328726635
data,C,BC,-8.70652223621738,-9.72532151562057
data,CD,DE,-6.83677927712022,-9.65003189509489
data,D,DE,-5.91273099777393,-8.09336602544719
data,CD,DE,-9.11346224058342,-12.3605613182886
data,CD,DE,-6.92396148944474,-9.29196927209555
data,CD,DE,-7.62283211101065,-8.67283358093501
data,C,BC,-7.96355228816932,-10.5743253479933
data,C,BC,-8.06667770459438,-11.1146598889633
data,BC,BC,-6.3347995396342,-9.31410938364722
data,CD,DE,-5.41448851184143,-7.87847376388859
data,C,BC,-5.06763731425238,-8.1948456878515
data,C,BC,-7.31493305629488,-10.4344853903216
data,D,DE,-7.41871336441336,-9.80152681577091
data,CD,DE,-5.84582196936631,-8.31601882552045
data,D,DE,-7.75370161424652,-10.4151238511628
data,CD,DE,-6.46094124594486,-9.67720266454982
data,CD,DE,-6.11926438962262,-8.82859523651394
data,D,DE,-5.85687971888923,-7.96565850810872
data,CD,DE,-5.99652360003156,-9.01462601906036
data,C,BC,-7.73790383555406,-10.680474906297
data,D,DE,-8.27815708317495,-10.9809056693518
data,CD,DE,-8.81275797022703,-11.3009960468533
data,CD,DE,-4.95723952295587,-7.92957398628175
